text,sentiment
I love this product,positive
This is terrible,negative
"It was okay, not great",neutral
Absolutely fantastic service,positive
I hate this,negative
Very good experience,positive
Not bad,neutral
Terrible quality,negative
Amazing movie with great acting,positive
Worst purchase ever,negative
"It was fine, nothing special",neutral
Loved the customer support,positive
Disappointed by the service,negative
Neutral feelings about this,neutral
Superb product quality,positive
The plot was boring,negative
Good value for money,positive
Horrible experience overall,negative
It is acceptable,neutral
"Excellent, I recommend it",positive
